UniProt_Proteome_ID	IDR_Long	IDR_Short
UP000018801	0.235	0.207
UP000145001	0.097	0.093
UP000167073	0.33	0.279
UP000101963	0.308	0.285
UP000240579	0.17	0.159
UP000128286	0.249	0.241
UP000002325	0.241	0.216
UP000203270	0.181	0.169
UP000202989	0.308	0.271
UP000234920	0.258	0.227
UP000204520	0.304	0.265
UP000006720	0.221	0.19
UP000103672	0.15	0.14
UP000007781	0.336	0.311
UP000118493	0.241	0.21
UP000052085	0.353	0.309
UP000125453	0.311	0.287
UP000152762	0.227	0.204
UP000008089	0.186	0.171
UP000203773	0.276	0.254
UP000203331	0.243	0.239
UP000202252	0.238	0.212
UP000157164	0.134	0.127
UP000201367	0.249	0.216
UP000032131	0.273	0.234
UP000032129	0.262	0.23
UP000014424	0.259	0.222
UP000203417	0.255	0.219
UP000031725	0.255	0.222
UP000201675	0.255	0.223
UP000204186	0.244	0.211
UP000204254	0.244	0.213
UP000122874	0.331	0.276
UP000110857	0.347	0.289
UP000099188	0.292	0.249
UP000007553	0.377	0.324
UP000232667	0.355	0.315
UP000148310	0.35	0.304
UP000203082	0.346	0.305
UP000152857	0.296	0.285
UP000142830	0.274	0.236
UP000118514	0.171	0.153
UP000002403	0.233	0.201
UP000203143	0.271	0.229
UP000030739	0.202	0.18
UP000203782	0.261	0.221
UP000010999	0.253	0.22
UP000005230	0.287	0.241
UP000202954	0.235	0.209
UP000006105	0.294	0.25
UP000204087	0.267	0.223
UP000019701	0.25	0.214
UP000006280	0.222	0.189
UP000204416	0.213	0.182
UP000144779	0.24	0.232
UP000203562	0.179	0.168
UP000000916	0.291	0.245
UP000203880	0.279	0.233
UP000006534	0.277	0.235
UP000207741	0.261	0.223
UP000201235	0.282	0.238
UP000006528	0.275	0.232
UP000000316	0.302	0.253
UP000006529	0.306	0.258
UP000006531	0.336	0.28
UP000000991	0.287	0.242
UP000006532	0.279	0.235
UP000006533	0.325	0.267
UP000203788	0.289	0.245
UP000032135	0.276	0.236
UP000000915	0.274	0.23
UP000202740	0.301	0.254
UP000204021	0.321	0.266
UP000006530	0.275	0.231
UP000001707	0.235	0.208
UP000204227	0.346	0.285
UP000204171	0.273	0.236
UP000031807	0.27	0.232
UP000203269	0.267	0.229
UP000201288	0.264	0.228
UP000031091	0.251	0.217
UP000002143	0.227	0.202
UP000202749	0.198	0.177
UP000008038	0.291	0.247
UP000013564	0.293	0.253
UP000002136	0.252	0.214
UP000203336	0.258	0.22
UP000202110	0.254	0.215
UP000006658	0.202	0.194
UP000201095	0.315	0.258
UP000203372	0.312	0.262
UP000002116	0.305	0.256
UP000007334	0.3	0.249
UP000007746	0.293	0.247
UP000002867	0.283	0.243
UP000201753	0.282	0.239
UP000201818	0.282	0.239
UP000201907	0.273	0.228
UP000002884	0.268	0.23
UP000001163	0.268	0.233
UP000204441	0.24	0.204
UP000203989	0.237	0.207
UP000007864	0.224	0.195
UP000002610	0.194	0.174
UP000002138	0.168	0.162
UP000002118	0.372	0.308
UP000203864	0.322	0.267
UP000203193	0.318	0.263
UP000204666	0.316	0.262
UP000201241	0.313	0.26
UP000007743	0.309	0.257
UP000204527	0.304	0.254
UP000005245	0.303	0.253
UP000000875	0.301	0.252
UP000201195	0.295	0.25
UP000006183	0.291	0.245
UP000019788	0.286	0.242
UP000002083	0.286	0.242
UP000000842	0.283	0.237
UP000002082	0.282	0.244
UP000204658	0.282	0.234
UP000030226	0.282	0.241
UP000030229	0.28	0.235
UP000006182	0.276	0.232
UP000001041	0.274	0.234
UP000031719	0.272	0.238
UP000009085	0.269	0.23
UP000026986	0.269	0.225
UP000002615	0.266	0.225
UP000007744	0.265	0.227
UP000001581	0.263	0.224
UP000000375	0.261	0.226
UP000001298	0.244	0.216
UP000001239	0.237	0.206
UP000008388	0.234	0.201
UP000030218	0.225	0.2
UP000030224	0.222	0.195
UP000002098	0.215	0.184
UP000002121	0.271	0.226
UP000009090	0.19	0.185
UP000011154	0.351	0.291
UP000002089	0.273	0.231
UP000015545	0.262	0.223
UP000202000	0.248	0.212
UP000002421	0.233	0.201
UP000007475	0.307	0.261
UP000007008	0.285	0.243
UP000001906	0.29	0.239
UP000201835	0.311	0.258
UP000203191	0.292	0.248
UP000000216	0.314	0.263
UP000030326	0.312	0.264
UP000001165	0.308	0.262
UP000007493	0.301	0.256
UP000203458	0.289	0.241
UP000001051	0.235	0.207
UP000000733	0.228	0.198
UP000204347	0.224	0.194
UP000000734	0.216	0.189
UP000202991	0.097	0.093
UP000001034	0.282	0.238
UP000203794	0.251	0.216
UP000202471	0.226	0.196
UP000204288	0.222	0.197
UP000002545	0.306	0.263
UP000017866	0.35	0.284
UP000027493	0.314	0.262
UP000001854	0.311	0.258
UP000028670	0.295	0.247
UP000008913	0.293	0.248
UP000016888	0.292	0.243
UP000000227	0.278	0.234
UP000202583	0.249	0.215
UP000001787	0.309	0.257
UP000030048	0.299	0.247
UP000001786	0.272	0.226
UP000029683	0.266	0.219
UP000008733	0.251	0.216
UP000001044	0.251	0.212
UP000203289	0.312	0.254
UP000105606	0.232	0.2
UP000173347	0.11	0.104
UP000008288	0.331	0.279
UP000127637	0.232	0.206
UP000114089	0.273	0.252
UP000218191	0.189	0.175
UP000160920	0.342	0.318
UP000132221	0.213	0.2
UP000204448	0.109	0.103
UP000153628	0.108	0.103
UP000167195	0.35	0.306
UP000154424	0.329	0.288
UP000201054	0.291	0.255
UP000202093	0.306	0.261
UP000027381	0.295	0.248
UP000018881	0.294	0.25
UP000019367	0.266	0.226
UP000204323	0.263	0.223
UP000204140	0.218	0.193
UP000011145	0.288	0.244
UP000011149	0.286	0.244
UP000011150	0.283	0.243
UP000203166	0.312	0.263
UP000007518	0.293	0.244
UP000005888	0.283	0.239
UP000005432	0.295	0.251
UP000007943	0.233	0.199
UP000001161	0.28	0.238
UP000008742	0.318	0.272
UP000029890	0.31	0.26
UP000001104	0.259	0.243
UP000207604	0.197	0.179
UP000000351	0.168	0.153
UP000127069	0.35	0.292
UP000168780	0.304	0.269
UP000135044	0.221	0.203
UP000201950	0.296	0.251
UP000002824	0.292	0.25
UP000204196	0.283	0.241
UP000001837	0.279	0.232
UP000002823	0.271	0.231
UP000008734	0.266	0.228
UP000201622	0.266	0.227
UP000007345	0.263	0.223
UP000203504	0.252	0.213
UP000201528	0.246	0.226
UP000207581	0.218	0.197
UP000203313	0.244	0.21
UP000201487	0.291	0.244
UP000001523	0.283	0.241
UP000030047	0.276	0.233
UP000201127	0.275	0.236
UP000001690	0.26	0.224
UP000011284	0.217	0.19
UP000202174	0.275	0.235
UP000001770	0.3	0.25
UP000002604	0.282	0.242
UP000014996	0.264	0.223
UP000007749	0.285	0.241
UP000015387	0.284	0.241
UP000017182	0.281	0.237
UP000014902	0.276	0.234
UP000008530	0.23	0.202
UP000013559	0.293	0.244
UP000202449	0.277	0.237
UP000001639	0.279	0.24
UP000014997	0.277	0.231
UP000029349	0.287	0.24
UP000000335	0.289	0.245
UP000000339	0.227	0.199
UP000201337	0.226	0.198
UP000001158	0.292	0.249
UP000000970	0.288	0.242
UP000016455	0.288	0.242
UP000008020	0.287	0.241
UP000002119	0.285	0.241
UP000001795	0.279	0.24
UP000001721	0.277	0.24
UP000000979	0.275	0.237
UP000011293	0.267	0.233
UP000202469	0.252	0.216
UP000031070	0.229	0.197
UP000202365	0.227	0.195
UP000030204	0.222	0.192
UP000002106	0.283	0.24
UP000026985	0.249	0.212
UP000008314	0.23	0.198
UP000014420	0.276	0.232
UP000024445	0.229	0.201
UP000010363	0.231	0.201
UP000029371	0.249	0.216
UP000029369	0.239	0.205
UP000029370	0.231	0.194
UP000029368	0.204	0.18
UP000029372	0.203	0.179
UP000018812	0.273	0.228
UP000002614	0.229	0.199
UP000029460	0.302	0.255
UP000000846	0.289	0.247
UP000011826	0.263	0.225
UP000009068	0.262	0.225
UP000017663	0.261	0.225
UP000014985	0.246	0.213
UP000006550	0.234	0.203
UP000018802	0.329	0.274
UP000202697	0.322	0.269
UP000002538	0.342	0.285
UP000001729	0.295	0.251
UP000033804	0.222	0.195
UP000015089	0.217	0.19
UP000009156	0.234	0.218
UP000007890	0.181	0.157
UP000002548	0.072	0.074
UP000014739	0.273	0.228
UP000033809	0.262	0.221
UP000013500	0.26	0.221
UP000027380	0.259	0.221
UP000000976	0.259	0.22
UP000001162	0.256	0.217
UP000001486	0.255	0.216
UP000014674	0.253	0.215
UP000013498	0.248	0.213
UP000001788	0.248	0.212
UP000001246	0.287	0.241
UP000002563	0.283	0.24
UP000009148	0.279	0.232
UP000013560	0.277	0.235
UP000009147	0.276	0.234
UP000011836	0.275	0.233
UP000201674	0.275	0.231
UP000000920	0.271	0.229
UP000033300	0.27	0.228
UP000202964	0.27	0.23
UP000002451	0.269	0.226
UP000000986	0.268	0.225
UP000000523	0.268	0.225
UP000026989	0.266	0.224
UP000002662	0.266	0.225
UP000001580	0.264	0.222
UP000002450	0.263	0.225
UP000001178	0.262	0.221
UP000017785	0.262	0.224
UP000000921	0.261	0.222
UP000201351	0.26	0.219
UP000008925	0.26	0.223
UP000000975	0.26	0.22
UP000033301	0.259	0.222
UP000013499	0.258	0.222
UP000000988	0.257	0.222
UP000001465	0.256	0.218
UP000202568	0.256	0.218
UP000000985	0.254	0.216
UP000002423	0.253	0.216
UP000000980	0.253	0.215
UP000000922	0.252	0.218
UP000001463	0.251	0.216
UP000000977	0.251	0.215
UP000001464	0.251	0.215
UP000202759	0.25	0.214
UP000207658	0.249	0.213
UP000000857	0.249	0.215
UP000001539	0.248	0.215
UP000000924	0.248	0.215
UP000000726	0.248	0.213
UP000000973	0.248	0.214
UP000000919	0.245	0.209
UP000000987	0.245	0.212
UP000000981	0.245	0.21
UP000015576	0.244	0.205
UP000000984	0.243	0.209
UP000002103	0.241	0.208
UP000000957	0.239	0.206
UP000001266	0.231	0.201
UP000000974	0.23	0.198
UP000000918	0.22	0.188
UP000007462	0.196	0.177
UP000002405	0.269	0.228
UP000002099	0.253	0.216
UP000006508	0.284	0.237
UP000006925	0.281	0.234
UP000006509	0.279	0.233
UP000006667	0.272	0.227
UP000019366	0.239	0.205
UP000026999	0.231	0.2
UP000203603	0.266	0.224
UP000006511	0.237	0.203
UP000016882	0.264	0.225
UP000232903	0.276	0.247
UP000002452	0.333	0.275
UP000018887	0.322	0.268
UP000009196	0.29	0.246
UP000005261	0.223	0.195
UP000000732	0.275	0.24
UP000014676	0.268	0.243
UP000014423	0.26	0.225
UP000001780	0.287	0.242
UP000001482	0.242	0.205
UP000000999	0.242	0.209
UP000017641	0.242	0.206
UP000002581	0.24	0.203
UP000201354	0.239	0.205
UP000201602	0.234	0.2
UP000001483	0.23	0.2
UP000201243	0.227	0.195
UP000003753	0.233	0.202
UP000003749	0.218	0.192
UP000002416	0.241	0.207
UP000001229	0.258	0.222
UP000001762	0.23	0.2
UP000204086	0.256	0.214
UP000031728	0.234	0.2
UP000202841	0.258	0.224
UP000201620	0.253	0.218
UP000203967	0.25	0.213
UP000001166	0.24	0.204
UP000030327	0.232	0.2
UP000008920	0.23	0.199
UP000031733	0.197	0.177
UP000009089	0.184	0.165
UP000201945	0.266	0.227
UP000203783	0.266	0.227
UP000203604	0.264	0.225
UP000201871	0.26	0.223
UP000204552	0.26	0.222
UP000204285	0.259	0.221
UP000202995	0.256	0.219
UP000019731	0.256	0.218
UP000014703	0.236	0.208
UP000002536	0.254	0.216
UP000030046	0.245	0.208
UP000000294	0.274	0.235
UP000011852	0.259	0.218
UP000011849	0.257	0.217
UP000000479	0.252	0.213
UP000011856	0.25	0.211
UP000001791	0.249	0.211
UP000011848	0.246	0.209
UP000011857	0.25	0.212
UP000011851	0.254	0.216
UP000011285	0.267	0.224
UP000011286	0.257	0.215
UP000002621	0.266	0.227
UP000011111	0.265	0.223
UP000002575	0.262	0.224
UP000002134	0.253	0.222
UP000001756	0.248	0.216
UP000000972	0.245	0.209
UP000000997	0.245	0.214
UP000000371	0.237	0.203
UP000001447	0.234	0.202
UP000001778	0.375	0.302
UP000002124	0.328	0.271
UP000202926	0.325	0.262
UP000008041	0.336	0.279
UP000000384	0.31	0.26
UP000008669	0.327	0.27
UP000202851	0.315	0.263
UP000033006	0.329	0.267
UP000008042	0.331	0.271
UP000001251	0.331	0.274
UP000203664	0.317	0.265
UP000030200	0.266	0.231
UP000008040	0.441	0.351
UP000001708	0.389	0.316
UP000204170	0.323	0.27
UP000201933	0.319	0.267
UP000202056	0.174	0.151
UP000201664	0.17	0.15
UP000203715	0.165	0.143
UP000000854	0.101	0.095
UP000000735	0.109	0.101
UP000000782	0.111	0.104
UP000203418	0.096	0.089
UP000002270	0.09	0.083
UP000201526	0.09	0.084
UP000202470	0.087	0.082
UP000169747	0.201	0.177
UP000006687	0.217	0.2
UP000000407	0.206	0.188
UP000161041	0.174	0.152
UP000166023	0.121	0.111
UP000125924	0.095	0.093
UP000217306	0.378	0.333
UP000165522	0.346	0.281
UP000130591	0.323	0.279
UP000128218	0.265	0.231
UP000147829	0.262	0.246
UP000157713	0.379	0.341
UP000202288	0.347	0.307
UP000011264	0.345	0.324
UP000135983	0.303	0.293
UP000203258	0.301	0.313
UP000106432	0.301	0.272
UP000147792	0.295	0.277
UP000156789	0.287	0.281
UP000106941	0.279	0.255
UP000153683	0.266	0.246
UP000175362	0.263	0.281
UP000105858	0.251	0.25
UP000103471	0.246	0.247
UP000148838	0.243	0.215
UP000123326	0.228	0.22
UP000207656	0.189	0.192
UP000217791	0.157	0.15
UP000203679	0.258	0.217
UP000204049	0.33	0.273
UP000001761	0.328	0.276
UP000030042	0.309	0.258
UP000202401	0.305	0.258
UP000204294	0.284	0.24
UP000203282	0.282	0.242
UP000006535	0.28	0.238
UP000006525	0.278	0.238
UP000007597	0.277	0.233
UP000018808	0.275	0.232
UP000014318	0.275	0.232
UP000033004	0.274	0.233
UP000006523	0.274	0.233
UP000006524	0.274	0.234
UP000203521	0.273	0.233
UP000006526	0.273	0.231
UP000000909	0.271	0.23
UP000006547	0.266	0.229
UP000000994	0.262	0.224
UP000006527	0.261	0.225
UP000201252	0.252	0.216
UP000204304	0.296	0.249
UP000007178	0.287	0.244
UP000204364	0.284	0.241
UP000203157	0.28	0.236
UP000203676	0.28	0.236
UP000202081	0.27	0.228
UP000032403	0.316	0.27
UP000202158	0.286	0.241
UP000204537	0.274	0.233
UP000203902	0.273	0.229
UP000217816	0.272	0.229
UP000202784	0.262	0.225
UP000033005	0.278	0.235
UP000011853	0.277	0.233
UP000033003	0.276	0.236
UP000001515	0.275	0.235
UP000033010	0.273	0.23
UP000033002	0.27	0.229
UP000007596	0.268	0.227
UP000006537	0.266	0.226
UP000033001	0.265	0.225
UP000000241	0.3	0.251
UP000006571	0.114	0.116
UP000007522	0.209	0.187
UP000006730	0.068	0.068
UP000000958	0.291	0.247
UP000002112	0.271	0.229
UP000001132	0.196	0.172
UP000014986	0.244	0.21
UP000000989	0.129	0.118
UP000203584	0.331	0.285
UP000142472	0.354	0.315
UP000052099	0.343	0.302
UP000174148	0.333	0.296
UP000201858	0.378	0.305
UP000201880	0.383	0.309
UP000134696	0.154	0.143
UP000052102	0.324	0.284
UP000153366	0.321	0.278
UP000114966	0.305	0.276
UP000232640	0.263	0.229
UP000214863	0.248	0.221
UP000201504	0.328	0.272
UP000204085	0.304	0.256
UP000204363	0.291	0.245
UP000204031	0.28	0.238
UP000204252	0.268	0.233
UP000027494	0.266	0.23
UP000001003	0.241	0.208
UP000011862	0.233	0.202
UP000202444	0.222	0.199
UP000204113	0.217	0.192
UP000027495	0.286	0.246
UP000027482	0.279	0.242
UP000019496	0.283	0.243
UP000002104	0.288	0.248
UP000028662	0.281	0.239
UP000007500	0.274	0.232
UP000005231	0.266	0.224
UP000005227	0.262	0.222
UP000007496	0.251	0.218
UP000007396	0.244	0.214
UP000014320	0.241	0.202
UP000031803	0.231	0.195
UP000031804	0.207	0.179
UP000007502	0.19	0.169
UP000024440	0.193	0.183
UP000001771	0.183	0.174
UP000005883	0.18	0.166
UP000002115	0.163	0.157
UP000008906	0.299	0.253
UP000008090	0.296	0.248
UP000001794	0.289	0.244
UP000029355	0.283	0.239
UP000001840	0.274	0.235
UP000002337	0.272	0.232
UP000019307	0.269	0.23
UP000009398	0.263	0.227
UP000014999	0.257	0.222
UP000007520	0.231	0.199
UP000002577	0.22	0.194
UP000002113	0.198	0.178
UP000028665	0.29	0.246
UP000019741	0.279	0.237
UP000006144	0.255	0.214
UP000201928	0.208	0.185
UP000005256	0.364	0.302
UP000202423	0.19	0.169
UP000217340	0.327	0.3
UP000214710	0.311	0.275
UP000202842	0.221	0.195
UP000201972	0.218	0.195
UP000202821	0.218	0.203
UP000204260	0.195	0.179
UP000240496	0.166	0.161
UP000208081	0.141	0.144
UP000201906	0.141	0.143
UP000202455	0.136	0.134
UP000208079	0.332	0.288
UP000147404	0.213	0.19
UP000201082	0.31	0.302
UP000201489	0.288	0.278
UP000002893	0.316	0.265
UP000001238	0.288	0.238
UP000002079	0.272	0.229
UP000002130	0.34	0.299
UP000009366	0.363	0.295
UP000003122	0.279	0.236
UP000001774	0.276	0.232
UP000001395	0.317	0.263
UP000018623	0.302	0.255
UP000018624	0.296	0.25
UP000018621	0.292	0.247
UP000018622	0.271	0.231
UP000002907	0.287	0.246
UP000002905	0.272	0.234
UP000203872	0.294	0.251
UP000201373	0.289	0.249
UP000001763	0.253	0.218
UP000002908	0.229	0.199
UP000002909	0.202	0.176
UP000204580	0.184	0.163
UP000000623	0.3	0.257
UP000010841	0.278	0.237
UP000001772	0.273	0.23
UP000132617	0.207	0.185
UP000125071	0.2	0.186
UP000204122	0.34	0.286
UP000201781	0.313	0.275
UP000202324	0.265	0.254
UP000203686	0.254	0.223
UP000029759	0.197	0.189
UP000204210	0.208	0.179
UP000134581	0.134	0.127
UP000203662	0.376	0.347
UP000203767	0.318	0.302
UP000204605	0.279	0.245
UP000202852	0.241	0.216
UP000203435	0.236	0.212
UP000202338	0.228	0.208
UP000000941	0.223	0.202
UP000240761	0.302	0.271
UP000202418	0.3	0.281
UP000202286	0.288	0.273
UP000202334	0.273	0.263
UP000203912	0.14	0.128
UP000233833	0.226	0.201
UP000143247	0.176	0.169
UP000203537	0.326	0.278
UP000008168	0.249	0.215
UP000203898	0.203	0.18
UP000232733	0.19	0.203
UP000201908	0.341	0.296
UP000203066	0.115	0.105
UP000208085	0.235	0.243
UP000202009	0.169	0.169
UP000201427	0.306	0.282
UP000201760	0.26	0.249
UP000201365	0.249	0.242
UP000203721	0.231	0.217
UP000201903	0.187	0.175
UP000165507	0.266	0.228
UP000217350	0.131	0.118
UP000001863	0.245	0.209
UP000201191	0.285	0.244
UP000207605	0.221	0.188
UP000201668	0.217	0.189
UP000006857	0.306	0.252
UP000201363	0.232	0.203
UP000145988	0.361	0.307
UP000134884	0.344	0.297
UP000132997	0.299	0.254
UP000203402	0.397	0.349
UP000011301	0.164	0.143
UP000136220	0.264	0.228
UP000029771	0.192	0.178
UP000137095	0.339	0.28
UP000125409	0.204	0.181
UP000100290	0.202	0.181
UP000204079	0.147	0.156
UP000166181	0.222	0.193
UP000103274	0.278	0.234
UP000008973	0.222	0.203
UP000029765	0.28	0.234
UP000008595	0.173	0.166
UP000119000	0.295	0.249
UP000203550	0.265	0.234
UP000148852	0.233	0.206
UP000202562	0.222	0.201
UP000203579	0.222	0.201
UP000139373	0.22	0.203
UP000203281	0.219	0.199
UP000143043	0.212	0.19
UP000241937	0.209	0.188
UP000204249	0.209	0.186
UP000203730	0.207	0.198
UP000158429	0.204	0.192
UP000240976	0.202	0.185
UP000150075	0.201	0.176
UP000144687	0.194	0.176
UP000105986	0.194	0.179
UP000130035	0.188	0.178
UP000218499	0.184	0.17
UP000207671	0.182	0.165
UP000155731	0.168	0.165
UP000214367	0.167	0.157
UP000204131	0.166	0.156
UP000119141	0.161	0.149
UP000202602	0.16	0.15
UP000156526	0.157	0.154
UP000202067	0.232	0.2
UP000204650	0.222	0.198
UP000204256	0.182	0.159
UP000202024	0.256	0.222
UP000203081	0.247	0.214
UP000202863	0.231	0.216
UP000202848	0.156	0.148
UP000029757	0.189	0.161
UP000008780	0.412	0.358
UP000110001	0.242	0.236
UP000102920	0.214	0.207
UP000137862	0.281	0.258
UP000201505	0.251	0.218
UP000144311	0.247	0.211
UP000105166	0.214	0.189
UP000232260	0.173	0.157
UP000201047	0.211	0.186
UP000202700	0.179	0.163
UP000202127	0.157	0.146
UP000202197	0.381	0.318
UP000203297	0.25	0.223
UP000203532	0.225	0.204
UP000207755	0.221	0.199
UP000207673	0.207	0.187
UP000201881	0.182	0.172
UP000202305	0.182	0.171
UP000204297	0.175	0.169
UP000203080	0.172	0.165
UP000203699	0.164	0.181
UP000204099	0.339	0.3
UP000007219	0.252	0.222
UP000241126	0.216	0.183
UP000153330	0.207	0.187
UP000134698	0.184	0.167
UP000129592	0.18	0.167
UP000156487	0.178	0.169
UP000136605	0.29	0.254
UP000164617	0.38	0.325
UP000214348	0.403	0.352
UP000214357	0.35	0.322
UP000125898	0.344	0.306
UP000115090	0.325	0.302
UP000113176	0.309	0.301
UP000202530	0.309	0.281
UP000106396	0.296	0.291
UP000147555	0.248	0.239
UP000201554	0.232	0.212
UP000201291	0.19	0.184
UP000165648	0.139	0.131
UP000162613	0.274	0.236
UP000000681	0.225	0.201
UP000007432	0.328	0.284
UP000008972	0.181	0.162
UP000000327	0.271	0.238
UP000201513	0.245	0.217
UP000029762	0.445	0.374
UP000163039	0.346	0.293
UP000029761	0.312	0.262
UP000117475	0.311	0.262
UP000156603	0.311	0.281
UP000151871	0.272	0.246
UP000165445	0.235	0.227
UP000169999	0.21	0.199
UP000203200	0.324	0.285
UP000207611	0.311	0.265
UP000204218	0.295	0.256
UP000202237	0.286	0.254
UP000204324	0.278	0.244
UP000202004	0.243	0.212
UP000203065	0.242	0.218
UP000203652	0.222	0.209
UP000202140	0.219	0.199
UP000202078	0.215	0.19
UP000202876	0.195	0.182
UP000120805	0.176	0.16
UP000201418	0.156	0.147
UP000202100	0.098	0.094
UP000241452	0.161	0.143
UP000006636	0.436	0.393
UP000029750	0.263	0.24
UP000029755	0.177	0.166
UP000241838	0.359	0.317
UP000241730	0.352	0.31
UP000240389	0.347	0.305
UP000241967	0.326	0.291
UP000204454	0.308	0.282
UP000241288	0.302	0.279
UP000202998	0.178	0.157
UP000232830	0.108	0.123
UP000119077	0.384	0.351
UP000154477	0.369	0.348
UP000128597	0.335	0.328
UP000203477	0.33	0.324
UP000201802	0.311	0.302
UP000119281	0.28	0.29
UP000151063	0.272	0.258
UP000159338	0.208	0.221
UP000172665	0.195	0.185
UP000029777	0.274	0.237
UP000201090	0.193	0.168
UP000132112	0.33	0.296
UP000171487	0.315	0.284
UP000116231	0.282	0.245
UP000137347	0.244	0.229
UP000208114	0.147	0.141
UP000151028	0.204	0.196
UP000008776	0.142	0.127
UP000162740	0.233	0.212
UP000172122	0.189	0.178
UP000142668	0.187	0.175
UP000136942	0.17	0.166
UP000171537	0.213	0.202
UP000008448	0.209	0.199
UP000232933	0.212	0.203
UP000114141	0.211	0.194
UP000144037	0.207	0.198
UP000166396	0.198	0.186
UP000111222	0.198	0.191
UP000098165	0.191	0.182
UP000123475	0.187	0.177
UP000203035	0.185	0.176
UP000011243	0.25	0.218
UP000126493	0.206	0.181
UP000105007	0.193	0.174
UP000217272	0.236	0.204
UP000130322	0.365	0.309
UP000114904	0.299	0.256
UP000173515	0.145	0.138
UP000172856	0.195	0.184
UP000150093	0.377	0.33
UP000166946	0.352	0.338
UP000203966	0.29	0.251
UP000011244	0.235	0.201
UP000155715	0.299	0.27
UP000137487	0.363	0.349
UP000136187	0.126	0.114
UP000204348	0.153	0.146
UP000144694	0.372	0.322
UP000131827	0.223	0.191
UP000161356	0.222	0.199
UP000201567	0.22	0.204
UP000203325	0.202	0.19
UP000009266	0.156	0.145
UP000008034	0.149	0.142
UP000009262	0.141	0.133
UP000143088	0.171	0.155
UP000007018	0.411	0.358
UP000157997	0.238	0.217
UP000134313	0.208	0.189
UP000099533	0.205	0.179
UP000123401	0.388	0.362
UP000129376	0.33	0.3
UP000201136	0.318	0.281
UP000143187	0.27	0.246
UP000101745	0.139	0.126
UP000000413	0.216	0.19
UP000008787	0.314	0.283
UP000000867	0.134	0.121
UP000000868	0.123	0.113
UP000240816	0.202	0.18
UP000203849	0.291	0.243
UP000217307	0.271	0.227
UP000052088	0.261	0.233
UP000001134	0.186	0.161
UP000201640	0.167	0.144
UP000201281	0.23	0.203
UP000232683	0.227	0.193
UP000208101	0.185	0.175
UP000011272	0.178	0.166
UP000006921	0.151	0.152
UP000201447	0.238	0.214
UP000202735	0.195	0.181
UP000018625	0.253	0.216
UP000000402	0.174	0.155
UP000203413	0.17	0.15
UP000137422	0.273	0.244
UP000120900	0.23	0.225
UP000203107	0.173	0.159
UP000122610	0.351	0.315
UP000008789	0.35	0.313
UP000052091	0.337	0.308
UP000102623	0.335	0.296
UP000052100	0.341	0.302
UP000052096	0.337	0.295
UP000160764	0.186	0.165
UP000006674	0.167	0.154
UP000203171	0.351	0.296
UP000203798	0.353	0.311
UP000201865	0.253	0.221
UP000203335	0.244	0.22
UP000111976	0.243	0.216
UP000156919	0.238	0.211
UP000203647	0.234	0.204
UP000137098	0.232	0.209
UP000138996	0.229	0.205
UP000234957	0.225	0.199
UP000157474	0.222	0.201
UP000233001	0.216	0.201
UP000008592	0.216	0.196
UP000008154	0.213	0.191
UP000009269	0.211	0.188
UP000203404	0.209	0.19
UP000008593	0.208	0.189
UP000002326	0.207	0.186
UP000202904	0.195	0.177
UP000007785	0.194	0.182
UP000007540	0.189	0.174
UP000164342	0.184	0.173
UP000096922	0.184	0.17
UP000202271	0.181	0.169
UP000234897	0.18	0.169
UP000201303	0.18	0.183
UP000006677	0.177	0.163
UP000203695	0.166	0.155
UP000202311	0.158	0.148
UP000217939	0.144	0.133
UP000207740	0.144	0.131
UP000006676	0.14	0.132
UP000204213	0.136	0.121
UP000203726	0.135	0.124
UP000235161	0.131	0.125
UP000234934	0.127	0.119
UP000211162	0.438	0.384
UP000000401	0.433	0.38
UP000202785	0.41	0.354
UP000201690	0.393	0.336
UP000202503	0.392	0.346
UP000006723	0.39	0.338
UP000203226	0.383	0.322
UP000203342	0.382	0.325
UP000206880	0.377	0.322
UP000201755	0.375	0.325
UP000203836	0.373	0.315
UP000203713	0.367	0.315
UP000202933	0.363	0.321
UP000201510	0.361	0.316
UP000204367	0.36	0.316
UP000203888	0.359	0.31
UP000203425	0.357	0.314
UP000202186	0.354	0.312
UP000006722	0.352	0.306
UP000202475	0.349	0.299
UP000201104	0.348	0.287
UP000202027	0.347	0.292
UP000214360	0.346	0.298
UP000000399	0.342	0.291
UP000203883	0.341	0.287
UP000203135	0.341	0.296
UP000232430	0.341	0.29
UP000000400	0.338	0.302
UP000204276	0.338	0.303
UP000203453	0.337	0.282
UP000201170	0.336	0.299
UP000202830	0.336	0.292
UP000203181	0.336	0.285
UP000203403	0.336	0.286
UP000202072	0.335	0.291
UP000203735	0.335	0.306
UP000202125	0.334	0.298
UP000202704	0.332	0.289
UP000204025	0.332	0.275
UP000007545	0.332	0.292
UP000202283	0.331	0.285
UP000202547	0.331	0.28
UP000217288	0.33	0.289
UP000203222	0.329	0.284
UP000204250	0.329	0.273
UP000203842	0.329	0.278
UP000001663	0.324	0.274
UP000203907	0.322	0.286
UP000202456	0.321	0.284
UP000009190	0.321	0.276
UP000203779	0.319	0.284
UP000204349	0.318	0.277
UP000000394	0.318	0.27
UP000202928	0.317	0.277
UP000202801	0.317	0.28
UP000203501	0.315	0.273
UP000008689	0.314	0.274
UP000201462	0.313	0.268
UP000202399	0.309	0.274
UP000203962	0.308	0.27
